index,creative,answer_time_90,survey_created,wave,version,survey_end_time,survey_start_time,answer_time_75,userid,answer_time_median,answer_time_min,surveyid,shortcode,survey_duration,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a3,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a4,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a5,a50,a51,a52,a6,a7,a8,a9,age,consent,default_tys,education,gender,location,occupation,religion,state,ability,motivation,vaccinated,fully_vaccinated
676,vlab-nigeria-hw-ppmv-1,134.18140000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 11:12:57.308000+00:00,2021-06-29 10:23:15.061000+00:00,81.3335,b8f6329f44d16bb0eaaf4ca7f7038a3bbd67e42c955c91e23fbfbabd41425a5a,45.123000000000005,9.315000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,2982.247,Extremely important,A great deal,"International Organizations like CDC, WHO",Don’t know / Can’t say,"Yes, somewhat",No,,My work doesn't give me the time to.,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,"I will take it, but want to wait and see",,Quite easy,Not at all,A little safe,A little important,Not at all important,Not sure,6,Yes,"A friend took, and she started having serious joint ache",A customer came to the pharmacy and said he was having itchy all over his body after taking the vaccine,No,,,,,Yes,Advertise my goods and services and to communicate with friends and family,Private,No,,,No,,,,,No,,,,,,Yes,Very concerned,No,No,30-39 years,Accept,,Masters,Woman,South East,Community health worker,Other Christian,Lagos state,True,False,False,False
632,vlab-nigeria-hw-ppmv-1,35.996,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 00:51:13.942000+00:00,2021-06-29 00:32:50.375000+00:00,19.711750000000002,cee50e3cd076a93bca3bdc512c57548158da6a6fef26ada7c0bde5094686c24a,14.853000000000002,6.8870000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,1103.567,Extremely important,A moderate amount,Online Social Media,"Yes, somewhat","Yes, somewhat",No,,"Vaccines are for elderly people with higher risk of health issue, and am not.",Agree,Agree,Disagree,Strongly disagree,Very unlikely to take it,,Very easy,Moderately,Moderately safe,A little important,Very important,Yes,5,Yes,"From neighbors  actually, but the side effects complaint was  different from one another.","The first person complained about severe headache for days, the other person complained about general body pain and numbness at some point.",Yes,All,Yes,Yes,Yes,Yes,All,Private,Yes,Yes,Yes,No,,,,,Don't have account,,,,,,No,A little concerned,No,No,18-29 years,Accept,,Bachelors,Woman,South West,Pharmacist,Other Christian,Ogun state,True,False,False,False
144,,48.16760000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 10:22:21.013000+00:00,2021-06-26 10:06:49.182000+00:00,21.8005,c5fe075546ab637d85938bc5560f892266799e7beb19bb8b294ba1e21855ed68,15.719000000000001,9.153,b43cefd2-9965-4869-8494-99a700a20833,HCP,931.831,Extremely important,A moderate amount,Colleagues in the healthcare profession,"Yes, somewhat","Yes, somewhat","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Quite easy,Very much,Very safe,Very important,Very important,Yes,3 years,No,,,Yes,"Getting information about the happenings around the globe, be it health, politics etc",Yes,Yes,Yes,Yes,"I belong to different WhatsApp group ranging from health, politics, business and other related issues",Private,Yes,Yes,Yes,No,,,,,No,,,,,,Yes,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,South East,PPMV/chemists,Catholic,Enugu,True,True,True,True
39,,19.3569,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 06:15:22.529000+00:00,2021-06-26 06:05:13.353000+00:00,16.22525,cf3747c73e39173b2931999d3d757a4af3bae48cf1e41b0c176d9da0cb22a653,12.118500000000001,7.404000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,609.176,Extremely important,A great deal,"International Organizations like CDC, WHO",Not at all,Not at all,No,,I'm pregnant,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very unlikely to take it,,Quite easy,Don’t know/Can’t say,Not at all safe,Not at all important,Very important,Yes,10,No,,,Yes,All,Yes,No,Yes,Yes,All,Private,No,,,Yes,All,No,,,No,,,,,,No,Moderately concerned,No,No,30-39 years,Accept,,Bachelors,Woman,North Central (Middle Belt),Pharmacist,Other Christian,Kogi,True,False,False,False
170,,71.77930000000005,2021-05-25 01:55:15.381+00:00,0,19,2021-05-30 02:37:54.536000+00:00,2021-05-30 02:03:45.650000+00:00,25.863000000000003,82ca20f6cee01fe6e4da1adab61626e0cfe9cb89defde03eff58a053457807db,12.671500000000002,6.039000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,2048.886,Extremely important,A little,"International Organizations like CDC, WHO",Don’t know / Can’t say,Don’t know / Can’t say,"Yes, both doses",Others around me are getting the vaccine so I decided to get it too,,,,,,,,Very easy,Not at all,Moderately safe,Don’t know/Can’t say,Not at all important,No,हिन्दी,No,,,Yes,8423779551,Don’t remember,,,Yes,8423779551,Public,No,,,Yes,8423779551,Don’t remember,,,Don't have account,,Tertiary healthcare facility,,,,Yes,Very concerned,Not sure,Yes,30-39 years,Accept,,Other,Prefer not to say,North Central (Middle Belt),Medical doctor,Other,8423779551,True,False,True,True
499,vlab-nigeria-hw-generic-3,37.282000000000004,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 11:03:50.594000+00:00,2021-06-27 10:48:08.906000+00:00,26.208250000000003,05c9a76e50e3056300fbbd818e3242ed17d73dab28f5c542d9d2052d35671058,20.228,7.688000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,941.688,Moderately important,A little,"International Organizations like CDC, WHO",Don’t know / Can’t say,Don’t know / Can’t say,"Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Quite easy,Moderately,A little safe,Very important,Very important,Yes,5,Yes,News,Adverse affect to aged people e,Yes,Connect with friends,Don’t remember,,,Yes,Same with Facebook,Public,Don’t remember,,,Yes,Same with whatsapp,Don’t remember,,,No,,Primary healthcare facility,,,,No,A little concerned,No,No,30-39 years,Accept,,Bachelors,Prefer not to say,South West,Other public health practitioner,Other,Lagos,True,True,True,True
108,,36.006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-24 21:25:55.006000+00:00,2021-06-24 21:00:12.394000+00:00,17.3135,d0cb0d0e273315aa1066b6653507427190c67e570beda19b0c05a6a5c94533a2,13.133000000000001,4.3740000000000006,b43cefd2-9965-4869-8494-99a700a20833,HCP,1542.612,Moderately important,A moderate amount,Newspaper,"Yes, somewhat","Yes, definitely","Yes, both doses",My duty to get vaccinated to protect patients,,,,,,,,Very easy,Very much,A little safe,Very important,Moderately important,No,1- years,No,,,No,,,,,No,,Private,,,,No,,,,,No,,,,,,No,Very concerned,Not sure,No,40-49 years,Accept,,Masters,Man,South East,PPMV/chemists,Islam,Foo,True,True,True,True
380,vlab-nigeria-hw-generic-2,22.6778,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 06:13:23.581000+00:00,2021-06-27 06:04:15.572000+00:00,17.389000000000003,fa69bd9dcca84e76e6899500e53ac692a538bce4691191b041d24cae961921df,11.983,6.531000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,548.009,Moderately important,A little,"International Organizations like CDC, WHO","Yes, somewhat","Yes, definitely","Yes, first dose only",To protect myself and my family,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,8 years,Yes,On media,Negative reaction,Yes,For every concern activities,Yes,Don’t remember,Yes,Yes,Chat,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,Not sure,30-39 years,Accept,,Diploma,Man,South West,Laboratory staff,Islam,Osun,True,True,True,False
645,vlab-nigeria-hw-ppmv-1,43.87190000000003,2021-05-25 01:55:15.381+00:00,0,19,2021-06-30 13:06:53.852000+00:00,2021-06-30 12:32:53.865000+00:00,24.13625,3e605748eff8a3dd245047b77fb4595f57779d55ed14a926ebe828d476525e6a,16.791000000000004,7.561000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,2039.987,Moderately important,A great deal,"International Organizations like CDC, WHO","Yes, definitely","Yes, somewhat",No,,Don't think it's really necessary for me considering my age and health status,Disagree,Agree,Disagree,Disagree,Unsure,,Don’t know/Can’t say,A little,Moderately safe,Don’t know/Can’t say,Don’t know/Can’t say,Not sure,1 year,No,,,Yes,Keeping updated,Don’t remember,,,Yes,Catching up with friends,Private,Don’t remember,,,No,,,,,No,,,,,,No,A little concerned,No,No,18-29 years,Accept,,Bachelors,Man,South South (Niger Delta),Medical doctor,Catholic,Delta,False,False,False,False
68,,26.822900000000004,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 17:43:28.329000+00:00,2021-06-25 17:30:55.073000+00:00,19.253500000000003,8fe5f1ba24843220b666257f6c2944e72dcf18c4a6e6edc94870ed24652de63a,14.312000000000001,7.166,b43cefd2-9965-4869-8494-99a700a20833,HCP,753.256,Extremely important,A little,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, definitely","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,5,Yes,My working place,Severe headache,Yes,Reading important updates,Yes,Yes,Yes,Yes,"Catching up with friends,",Public,No,,,Yes,Watching important updates,Yes,Yes,Yes,No,,Tertiary healthcare facility,,,,No,A little concerned,No,Yes,18-29 years,Accept,,Diploma,Man,North West,Laboratory staff,Islam,Katsina State,True,True,True,True
