state,political_will,technical_capacity,social_media,zone
FCT – 33740,✓✓✓,✓✓✓,✓,north central
Plateau – 15660,✓,⦸,⦸,north central
Kwara - 5282,✓✓✓,✓✓,✓ ✓,north central
Nassarawa – 3324,✓✓✓,✓✓✓,✓✓✓,north central
Benue – 2350,✓✓✓,✓✓,✓ ✓,north central
Niger – 1492,✓✓✓,✓✓✓,✓ ✓,north central
Kogi - 17,✓✓,✓✓,✓ ✓,north central
Enugu – 4755,✓✓,✓✓,✓ ✓,south east
Ebonyi – 4045,✓,⦸,✓ ✓,south east
Abia – 3301,✓,⦸,✓ ✓,south east
Imo – 2738,✓,⦸,✓,south east
Anambra - 2243,✓✓,✓✓,✓✓✓,south east
Rivers – 12035,✓✓✓,✓✓✓,✓✓✓,south south
Edo – 10227,✓✓,✓,✓ ✓,south south
Delta – 6264,✓,⦸,✓✓✓,south south
Akwa-Ibom – 2339,✓,⦸,✓✓✓,south south
Bayelsa - 1695,✓✓✓,✓,✓,south south
Cross River - 521,✓,⦸,✓✓✓,south south
Lagos – 105698,✓✓✓,✓✓✓,✓✓✓,south west
Oyo – 13925,✓✓,✓✓,✓,south west
Ogun – 8719,✓,⦸,✓✓,south west
Ondo – 6583,✓,⦸,✓✓✓,south west
Osun – 4258,✓✓,✓✓,✓✓,south west
Ekiti - 1501,✓,⦸,✓,south west
